Common name,Scientific name,Set,Color,Power text,Flavor text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg capacity,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,North America,Central America,South America,Europe,Asia,Africa,Oceania,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Viticulturalist,Wetland Scientist,Wildlife Gardener
Australasian Shoveler,Spatula rhynchotis,oceania,brown,Choose 1 other player. You both draw 1 [card] from the deck.,"This bird’s Māori name, kuruwhengi, means ""snuffle.""",,,,4,ground,4,75,,,X,1,1,,,,,,,,2,,,,,,,X,,X,,,,,,X,,X,,,,,X,,,,,,,,X,
Australian Ibis,Threskiornis moluccus,oceania,brown,"Shuffle the discard pile, then draw 2 [card] from it. Choose 1 and tuck it behind this bird or add it to your hand. Discard the other.","In urban areas, this bird is nicknamed ""bin chicken"" for its habit of eating trash.",,X,,5,platform,2,118,,X,X,1,,1,,,,1,,,3,,,,,X,,X,,X,,,,X,X,,X,,,X,,,X,,X,,X,,,,,
Australian Magpie,Gymnorhina tibicen,oceania,yellow,"Discard 1 [egg] from each bird in this row and column that has an [egg] on it, excluding this bird. For each discarded [egg], cache 2 [seed] from the supply on this bird.",These territorial birds will swoop at humans who get too close to their nests.,,,,4,platform,2,75,,X,,1,,,,2,,,,,3,,,,,,,X,,X,,,,,,,X,,,,,,X,,,,X,X,X,,,
Australian Owlet-Nightjar,Aegotheles cristatus,oceania,pink,"When another player takes the ""gain food"" action, gain 1 [invertebrate] from the birdfeeder, if there is one, at the end of their turn.","This small nocturnal bird is also known as the moth owl, but it is not an owl.",,,,2,cavity,2,28,X,X,X,1,,,,1,,,/,,1,,,,,,,X,,X,,,X,X,,,,,,,,,,X,,X,,,X,,,
Australian Raven,Corvus coronoides,oceania,yellow,Cache up to 5 [wild] from your supply on this bird.,"Ravens will cache extra food under debris, in grass tussocks, or in the soil.",,,,7,platform,3,100,X,X,X,1,,,,1,,1,,,3,,,,,,,X,,X,,,,X,,,X,,,,,,X,,X,,X,,X,,,
Australian Reed Warbler,Acrocephalus australis,oceania,white,Play another bird in your wetland. Pay its normal cost with a 1 [egg] discount.,"These birds like to perch on dense, vertical wetland vegetation like reeds and rushes.",,,,2,bowl,3,21,,,X,1,,,,,,,,,1,,,,,X,,X,,X,,,X,,,,,,,,X,,,,,X,,,,,X,X
Australian Shelduck,Tadorna tadornoides,oceania,brown,Draw 1 face-up [card] from the tray with a [cavity] or [star] nest. You may reset or refill the tray before doing so.,"These birds nest in tree cavities, holes in banks, or similar locations.",,,,3,cavity,4,113,,,X,1,1,,,,,,,,2,,,,,,,X,,X,,,X,,,X,,,,,,,X,X,,,,,,,X,
Australian Zebra Finch,Taeniopygia castanotis,oceania,brown,"If the player to your right has a [seed] in their personal supply, tuck a [card] from the deck behind this bird.","Zebra finches will nest in colonies of as many as 50, building round nests with a side entrance.",,,,1,wild,3,22,,X,,,1,,,,,,,,1,,,,,,,X,,X,,,X,,,X,,X,,,,,,X,,X,X,X,,,,X
Baird's Sparrow ,Ammodramus bairdii,core,brown,Lay 1 [egg] on any bird.,Spencer Fullerton Baird was the first curator of the Smithsonian.,,,,3,ground,2,23,,X,,1,1,,,,,,,,2,X,X,,,,,,,,X,,X,,,X,,X,,,,,,,,X,,X,,,,
Bald Eagle ,Haliaeetus leucocephalus,core,white,Gain all [fish] that are in the birdfeeder.,Bald eagles steal fish. Benjamin Franklin thought this was a bad choice for the US national bird.,,,,9,platform,1,203,,,X,,,2,,1,,,,,3,X,X,,,,,,,,,,,,,,X,,,X,,,X,,,,X,,X,,X,
Baltimore Oriole ,Icterus galbula,core,brown,All players gain 1 [fruit] from the supply.,Orioles weave pouch nests that hang from a tree nest.,,,,9,wild,2,30,X,,,1,,,2,,,,,,3,X,X,X,,,,,,X,,,,,,,X,X,,,,X,,X,,X,X,,,X,,X
Barn Owl,Tyto alba,core,brown,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",Barn owls use their excellent hearing to catch prey in the dark and will cache surplus for later.,X,,,5,cavity,4,107,X,X,X,,,,,2,,,,,2,X,X,X,X,X,X,X,,,,,,X,,,,,X,,,,X,X,,,,,X,,,
Barn Swallow,Hirundo rustica,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].",Barn swallows once nested in caves but now favor human-made structures.,,X,,1,wild,3,38,,X,X,1,,,,,,,,,1,X,X,X,X,X,X,X,,,,,X,X,X,,,X,,,X,,,X,,,X,,,,,X
Barred Owl,Strix varia,core,brown,"Look at a [card] from the deck. If less than 75cm, tuck it behind this bird. If not, discard it.","The barred owl's haunting call sounds like ""Who cooks for you?""",X,,,3,cavity,2,107,X,,,,,,,1,,,,,1,X,X,,,,,,,,,,X,,,,,,X,,,X,X,X,,,,,X,,,
Barrow's Goldeneye ,Bucephala islandica,core,pink,"When another player takes the ""lay eggs"" action, lay 1 [egg] on another bird with a [cavity] nest.",These ducks will lay their eggs in the nest of any cavity-nesting duck.,,,,5,cavity,4,71,,,X,1,1,1,,,,,,,3,X,,,X,,,,X,,X,X,,,,X,X,,,X,,,X,X,,,,,,,X,
Bell's Vireo,Vireo bellii,core,white,Draw 2 new bonus cards and keep 1.,John Graham Bell taught taxidermy to future US President Theodore Roosevelt.,,,X,4,wild,2,18,X,X,,2,,,,,,,,,2,X,X,,,,,,,,X,,,X,,,,X,,,X,,,X,,X,X,,,,,X
Belted Kingfisher ,Megaceryle alcyon,core,pink,"When another player plays a bird in their [wetland], gain 1 [fish] from the supply.",A kingfisher burrow can go up to 2 meters into a riverbank and slopes to shed water.,,,,4,wild,4,53,,,X,,,1,,,,1,,,2,X,X,,,,,,,,,,,,,,,X,,X,,,,X,X,,X,,,,X,X
Bewick's Wren,Thryomanes bewickii,core,brown,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",These wrens have largely disappeared in the eastern part of their range due to nest predation.,,,,4,cavity,3,18,X,X,X,2,1,,,,,,,,3,X,X,,,,,,,,X,,,X,,X,X,,,,,,,X,,X,,,,,,
Black Noddy,Anous minutus,oceania,brown,"Reset the birdfeeder and gain all [fish], if there are any. You may discard any of these [fish] to tuck that many [card] from the deck behind this bird instead.","A large shoal of fish may attract a flock of 5,000 or more noddies.",,X,,9,platform,1,69,,,X,,,3,,,,,,,3,,,,,X,,X,,,,X,,,X,,X,,,X,,,X,,,,X,,,,X,
Black Redstart,Phoenicurus ochruros,european,teal,Choose a habitat with no [egg]. Lay 1 [egg] on each bird in that habitat.,"Native to mountains, this bird moved into bombed areas following World War II.",,,,0,wild,4,24,,X,,1,1,,1,,,,,,3,,,,X,X,X,,,,,X,X,,,X,X,X,,,,,,X,,X,X,X,,X,,X
Black Skimmer ,Rynchops niger,core,brown,"Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.","Skimmers plow the water with their beaks, snapping shut when they hit a fish.",X,,,6,ground,2,112,,,X,,,2,,,,,,,2,X,X,X,,,,,,,,X,,,,,,X,X,X,,,X,,,,,,,,X,
Black Swan,Cygnus atratus,oceania,yellow,"Lay 1 [egg] on each of your birds with a wingspan over 100cm, including this one.",These birds were introduced to New Zealand from Australia in the 1860s.,,,,6,ground,3,180,,,X,,1,,,,,2,,,3,,,,,,,X,,,,X,,,,X,X,X,,,,,X,,X,,,,,,X,
Black Tern,Chlidonias niger,core,brown,"Draw 1 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",These terns build floating nests out of marsh plants.,,,,4,wild,2,61,,,X,1,,1,,,,,/,,1,X,X,X,X,X,X,,,,,X,,,,,,X,,X,,,,X,,,X,,,,X,X
Black Vulture ,Coragyps atratus,core,pink,"When another player's [predator] succeeds, gain 1 [die] from the birdfeeder.","Turkey vultures have a better sense of smell, so black vultures follow them to food.",,,,2,cavity,1,150,X,,,,,,,,,,,,0,X,X,X,,,,,,,,X,X,,,,,,,,,X,X,X,,,,,,,,
Black Woodpecker,Dryocopus martius,european,brown,Gain all [invertebrate] that are in the birdfeeder.,Tree holes made by this bird provide homes for other species.,,,,4,cavity,2,70,X,,,2,,,1,,,,,,3,,,,X,X,,,,,,X,,,,,X,,,,,X,X,X,,,,,,X,,
Black-Bellied Whistling-Duck,Dendrocygna autumnalis,core,brown,Discard 1 [seed] to tuck 2 [card] from the deck behind this bird.,These ducks really do whistle.,,X,,2,cavity,5,76,,,X,,2,,,,,,,,2,X,X,X,,,,,X,,,X,X,,X,X,,,,,,,X,X,,,,,,,X,
Black-Billed Magpie ,Pica hudsonia,core,pink,"When another player's [predator] succeeds, gain 1 [die] from the birdfeeder.",These omnivores steal eggs and eat carrion along with a diversity of other foods.,,,,3,wild,3,64,,X,,,,,,,,2,,,2,X,,,,,,,X,,,X,X,,,,,X,,,,,,X,X,,X,X,,,,X
Black-Chinned Hummingbird,Archilochus alexandri,swiftstart,brown,All players gain 1 [fruit] from the supply.,"To display, males of this species will fly up 30 m then dive, reaching speeds near 100 kilometers per hour.",,,,4,bowl,2,8,X,X,X,,,,,,,1,,,1,X,,,,,,,X,,,X,,X,,,,,,,,,,,X,X,,,,,,X
Black-Crowned Night-Heron ,Nycticorax nycticorax,core,brown,Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.,"Night herons eat carrion and eggs in addition to fish, rodents, and invertebrates.",,,,9,platform,2,112,,,X,1,,1,,1,,,,,3,X,X,X,X,X,X,X,X,,,X,,,,,X,,,X,,,X,,,,X,,X,,X,
Black-Headed Gull,Chroicocephalus ridibundus,european,brown,Steal 1 [wild] from another player's supply and add it to your own supply. They gain 1 [die] from the birdfeeder.,This species is an opportunistic feeder that will consume anything from scraps to fish.,,,,3,ground,2,102,,,X,1,,,,,,1,,,2,X,,,X,X,X,,X,,,X,X,,,,,X,,,,,X,,X,,,,,,X,
Black-Necked Stilt ,Himantopus mexicanus,core,white,Draw 2 [card].,"When not breeding, stilts form closely packed groups and will mob predators.",,,,4,ground,2,74,,,X,2,,,,,,,,,2,X,X,X,,,,,X,,,X,,,,,,X,,,X,,X,,,,,,,,X,
Black-Shouldered Kite,Elanus axillaris,oceania,brown,"Reset the birdfeeder and gain 1 [rodent], if there is one. You may give it to another player; if you do, lay up to 3 [egg] on this bird.","In their mating display, a female kite will grab food from a male’s talons while flipping upside-down.",X,,,2,platform,3,87,,X,,,,,,2,,,,,2,,,,,,,X,X,,,X,X,,,,,,X,,,,X,,,,X,X,X,,,
Black-Tailed Godwit,Limosa limosa,european,white,Draw 1 new bonus card. Then draw 3 [card] and keep 1 of them.,These birds are protected from hunting in much of Europe due to population declines.,,,X,6,ground,2,76,,,X,2,1,,,,,,,,3,,,,X,X,X,X,X,,,X,,,,X,X,X,,,,,X,,,,,,,,X,
Black-Throated Diver,Gavia arctica,european,brown,"Discard all remaining face-up [card] and refill the tray. If you do, draw 1 of the new face-up [card].",This northern species breeds on deep freshwater lakes within a yard of the water's edge.,,,,5,ground,1,120,,,X,,,2,,,,,,,2,,,,X,X,,,X,,,X,,,,,,X,,X,,,X,,,,,,,,X,
Blue Grosbeak,Passerina caerulea,core,brown,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",Grosbeaks especially like tangled vines and shrubby areas on forest edges.,,,,4,bowl,3,28,X,X,X,1,2,,,,,,,,3,X,X,,,,,,X,,,X,,X,,X,X,,,,,,,,,X,,,,,,X
Blue Jay,Cyanocitta cristata,core,brown,"Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.",Blue jays can carry up to 5 acorns at a time and will store hundreds for winter.,,,,3,bowl,2,41,X,,,,1,,,,,1,,,2,X,,,,,,,,,,X,X,,,X,,,,,,X,,,X,,,,,,,X
Blue-Gray Gnatcatcher ,Polioptila caerulea,core,brown,Gain 1 [invertebrate] from the supply.,Gnatcatchers' breeding range is steadily shifting north with climate change.,,,,1,bowl,3,15,X,,,1,,,,,,,,,1,X,X,,,,,,,,,X,X,,,,,,,,X,X,,,,X,,,,,,X
Blue-Winged Warbler,Vermivora cyanoptera,core,,,This warbler especially likes to nest on the edges between forest and fields.,,,,8,bowl,2,20,X,X,,2,,,,,,,,,2,X,X,,,,,,X,,,X,,X,,,,,,,X,,,,,X,,,,,,X
Bluethroat,Luscinia svecica,european,brown,Choose a food type. All players gain 1 of that food from the supply.,The species name “svecica” comes from the male's colors matching the Swedish flag.,,,,7,ground,5,22,,X,X,1,1,,1,,,,,,3,,,,X,X,X,,X,,,X,,X,,X,X,X,,,,,,,,X,,,,X,,
Blyth's Hornbill,Rhyticeros plicatus,oceania,white,Discard all [egg] from 1 of your birds with a [cavity] nest. Tuck twice that many [card] from the deck behind this bird.,Hornbills will occupy a cockatoo nest and kick out the cockatoos.,,X,,7,cavity,2,150,X,,,,,,3,,,,,,3,,,,,X,,X,X,,X,,,,X,,X,,,,,X,X,X,,,,,,X,,
Bobolink,Dolichonyx oryzivorus,core,white,Lay 1 [egg] on each of your birds with a [ground] nest.,Emily Dickinson wrote poems about these birds as rowdy choristers in her church of nature.,,,,4,ground,3,30,,X,,1,2,,,,,,,,3,X,X,X,,,,,,,,,,,,X,X,X,,,,,,,,X,,X,,,,
Bonelli's Eagle,Aquila fasciata,european,white,"For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.","Senu, the scouting eagle in Assassin’s Creed Origins, is a Bonelli’s eagle.",X,,,8,platform,1,160,X,X,X,,,,,3,,,,*,3,,,,X,X,X,,,,X,,,X,,,X,,X,,,,X,,,,X,,X,,,
Brant,Branta bernicla,swiftstart,white,Draw the 3 face-up [card] in the bird tray.,Brants can migrate the 5300 kilometers from Alaska to Mexico in 54 hours.,,,,3,ground,2,114,,,X,,1,,,,,1,,,2,X,,,X,X,,,,,,,X,,,X,,X,,,,,X,,X,,,,,,X,
Brewer's Blackbird ,Euphagus cyanocephalus,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.",Brewer was a prominent 19th-century ornithologist and oologist.,,X,,3,bowl,3,41,,X,,,1,,,,,1,,,2,X,X,,,,,,,,X,X,X,,X,X,,,,,,,,,X,,,X,,,,X
Broad-Winged Hawk,Buteo platypterus,swiftstart,brown,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",This hawk is seen more during migration than when it's in the forest interior.,X,,,4,platform,2,85,X,,,,,,,1,,,,,1,X,X,X,,,,,X,,,,,,,,,,X,,,X,X,,,,X,,X,,,
Brolga,Antigone rubicunda,oceania,brown,Choose 1 other player. They lay 1 [egg]; you draw 2 [card].,Brolgas are famous for their elaborate mating dances.,,,,6,ground,2,215,,,X,1,1,,,,,1,,,3,,,,,,,X,,,,,,,,X,X,X,,,,,X,,X,,,,,,X,
Bronzed Cowbird ,Molothrus aeneus,core,pink,"When another player takes the ""lay eggs"" action, lay 1 [egg] on a bird with a [bowl] nest.",Cowbirds lay eggs in other birds' nests and often break or push out the host bird's eggs.,,,,5,,0,36,,X,,1,1,,,,,,,,2,X,X,,,,,,,,,X,,,,X,,,,,,,,,,,,X,,,,
Brown Falcon,Falco berigora,oceania,brown,"Look at a [card] from the deck. If its food cost includes an [invertebrate] or a [rodent], tuck it behind this bird. If not, discard it.","Brown falcons have a powerful, notched bill designed to kill prey with a bite to the spine.",X,,,5,platform,2,102,X,X,X,1,,,,1,,,,,2,,,,,,,X,,,,X,,X,,,,,X,,,,X,,,,X,,X,,,
Brown Pelican,Pelecanus occidentalis,core,white,Gain 3 [fish] from the supply.,"Seriously endangered in the 1970s, brown pelicans are thriving after the US and Canada banned DDT.",,,,4,platform,2,201,,,X,,,2,,,,,,,2,X,X,X,,,,,,,,X,,,,,,,,X,,,X,,,,X,,,,X,
Brown-Headed Cowbird ,Molothrus ater,core,pink,"When another player takes the ""lay eggs"" action, lay 1 [egg] on a bird with a [bowl] nest.",Cowbirds do not make nests; they lay their eggs in other birds' nests.,,,,3,,0,30,,X,,,1,,,,,,,,1,X,X,,,,,,X,,,X,X,,,X,,,,,,,,,,X,,X,,,,
Budgerigar,Melopsittacus undulatus,oceania,brown,Tuck the smallest bird in the tray behind this bird.,Budgies learn specific group calls that help them find their group within vast flocks.,,X,,0,cavity,3,30,X,X,X,,1,,,,,,,,1,,,,,,,X,,,,,X,X,X,X,,,,,,,,X,,X,,,,,,
Bullfinch,Pyrrhula pyrrhula,european,brown,"Reset the birdfeeder. If you do, gain 1 [seed] or 1 [fruit] from the birdfeeder after resetting.",The bullfinch feeds on the buds of fruit trees and is considered a pest in orchards.,,,,3,bowl,4,24,X,,,,1,,1,,,,,,2,,,,X,X,,,,,,,X,,,X,,,,,,X,,,,X,,,,X,,X
Burrowing Owl ,Athene cunicularia,core,brown,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",These owls often use old prairie dog burrows for their underground nests.,X,,,5,wild,4,53,,X,,1,,,,1,,,,,2,X,X,X,,,,,,,,,,,,,,X,X,,,,,X,,,X,X,X,,,X
Bushtit,Psaltriparus minimus,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.","Bushtits live in flocks, and single adults will help couples raise their young.",,X,,2,wild,5,15,X,X,X,1,1,,,,,,,,2,X,X,,,,,,,,,,X,X,X,X,,X,,,,,,X,,X,X,,,,,X
California Condor,Gymnogyps californianus,core,white,Draw 2 new bonus cards and keep 1.,"There were just 22 of these scavengers alive in the 1980s, but now there are over 500.",,,X,1,ground,1,277,X,X,X,,,,,,,,,,0,X,,,,,,,,X,,,X,X,,,,X,,,,,X,,,,,,,,,
California Quail ,Callipepla californica,core,brown,Lay 1 [egg] on this bird.,California quail nests have been reported with as many as 28 eggs.,,,,3,ground,6,36,X,X,,1,2,,,,,,,,3,X,X,,,,,,,X,,,X,X,,X,X,X,,,,,,,,,,,,,,
Canada Goose ,Branta canadensis,core,brown,Discard 1 [seed] to tuck 2 [card] from the deck behind this bird.,The oldest known Canada Goose was at least 33 years old.,,X,,3,ground,3,132,,X,X,,2,,,,,,,,2,X,X,,,,,,,X,,,X,X,X,X,,X,,,,,X,,,,,,,,,
Canvasback,Aythya valisineria,swiftstart,brown,All players draw 1 [card] from the deck.,The fastest recorded canvasback was flying 116 kilometers per hour.,,,,4,wild,4,82,,,X,,1,,,,,1,,,2,X,,,,,,,X,,,,,,,X,,X,,,,,X,X,X,,X,,,,X,X
Carolina Chickadee ,Poecile carolinensis,core,brown,Cache 1 [seed] from the supply on this bird.,Chickadees hide seeds and can remember thousands of hiding places.,,,,2,cavity,3,20,X,,,1,1,,,,,,/,,1,X,,,,,,,,X,,,X,,,X,,,,,,X,,X,,X,,,,,,
Carolina Wren,Thryothorus ludovicianus,core,white,Draw 2 [card].,"A single male Carolina Wren can sing nearly 3,000 times in a single day.",,,,1,cavity,5,20,X,,,1,,,1,,,,/,,1,X,X,,,,,,,X,,,X,,,,,,,,,X,,X,,X,,,,X,,
Carrion Crow,Corvus corone,european,teal,Choose any 1 player (including yourself). Cache 1 [rodent] from the supply on this bird for each [predator] that player has.,"In their range, carrion crows are the primary scavengers of small animal carcasses.",,,,3,platform,2,92,,X,X,1,,,,,,1,,,2,,,,X,X,,,,,,,X,X,,,,,,,,,X,,X,,X,,,,,
Cassin's Finch,Haemorhous cassinii,core,white,Draw 2 new bonus cards and keep 1.,"Fifteen birds are named after ornithologist John Cassin, including 2 in this game.",,,X,4,bowl,3,30,X,,,,1,,1,,,,,,2,X,X,,,,,,,,X,,,,,X,,,,,,X,,,,X,,,,X,,X
Cassin's Sparrow ,Peucaea cassinii,core,brown,Lay 1 [egg] on any bird.,Ornithologist Josh Cassin died from years of handling arsenic-preserved birds.,,,,3,ground,2,20,,X,,1,1,,,,,,,,2,X,X,,,,,,,,X,,X,,,X,,X,,,,,,,,X,,X,,,,
Cedar Waxwing,Bombycilla cedrorum,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, gain 1 [fruit] from the supply.",These birds secrete red wax on the tips of their wing feathers.,,X,,3,bowl,3,25,X,X,,,,,2,,,,,,2,X,X,,,,,,X,,,,X,X,X,,,,,,,,,,,X,,,,X,,X
Cerulean Warbler ,Setophaga cerulea,core,white,Draw 2 new bonus cards and keep 1.,"Between 1966 and 2015, this species lost 74% of its population.",,,X,4,bowl,2,20,X,,,1,1,,,,,,,,2,X,X,X,,,,,,,,X,,,,X,,,,,,X,,,,X,,,,,,X
Cetti's Warbler,Cettia cetti,european,teal,"This bird counts double toward the end-of-round goal, if it qualifies for the goal.","These birds often hide in deep brush, but reveal themselves with a loud song.",,,,4,bowl,3,17,,,X,1,1,,,,,,,,2,,,,X,X,,,,,X,,,,,X,,,,,,,,,,X,,,,,X,X
Chestnut-Collared Longspur ,Calcarius ornatus,core,white,Draw 2 new bonus cards and keep 1.,This bird's population dropped by 82% between 1966 and 2015.,,,X,5,ground,4,25,,X,,1,2,,,,,,,,3,X,X,,,,,,X,,,X,,,,X,X,X,,,,,,,,X,,X,,,,
